px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
66.1683	23.9587	2.67735	0.306291	0.1427	65.8838	23.9541	66.0431	24.0276	2.37349	0.508655	3.94982
68.3211	24.3891	2.45291	0.220668	-0.0240213	68.262	24.3582	68.4273	24.4824	2.30293	0.385623	0
68.3882	24.4145	2.53979	0.221672	-0.0194696	68.6759	24.6059	68.4273	24.4824	2.30293	0.385623	1.56114
70.784	24.8741	2.69755	0.185742	-0.0256694	70.8275	24.8844	70.7384	24.8137	2.22347	0.265395	0
70.7377	24.8475	2.54084	0.142439	-0.101772	70.7403	24.6728	70.7384	24.8137	2.22347	0.265395	1.00674
72.92	24.7244	2.4487	-0.190732	-0.284562	72.8923	24.7135	72.9675	25.025	2.13584	0.150292	0
72.957	24.7373	2.47385	-0.183827	-0.285692	73.0732	25.0343	72.9675	25.025	2.13584	0.150292	0.568002
75.0683	25.2075	2.06724	0.317946	0.299295	75.0021	25.2595	75.1062	25.1224	2.04114	0.0423626	0
75.0508	25.1991	2.05803	0.307929	0.289483	74.9748	25.1377	75.1062	25.1224	2.04114	0.0423626	0.113038
77.1242	24.9669	2.01549	-0.294753	-0.384662	77.1225	24.9297	77.1475	25.1137	1.9408	-0.0566978	0
77.1416	24.9715	2.03017	-0.301651	-0.395527	77.1386	25.2948	77.1475	25.1137	1.9408	-0.0566978	0.140426
79.1064	24.994	1.89899	0.122609	0.239789	79.1089	25.0369	79.0861	25.0086	1.83649	-0.145607	0
79.1075	24.9997	1.87321	0.12386	0.236588	79.1718	24.9698	79.0861	25.0086	1.83649	-0.145607	0.0731947
80.8172	24.8896	1.85877	-0.0788113	-0.0887041	80.8074	24.8688	80.9183	24.8178	1.73008	-0.223536	0
80.8517	24.8838	1.82364	-0.132809	-0.186096	81.1423	24.8704	80.9183	24.8178	1.73008	-0.223536	1.19416
82.5935	24.6383	1.92468	-0.172399	-0.0660715	82.6216	24.6393	82.6423	24.5525	1.6235	-0.29012	0
82.5704	24.6216	1.85449	-0.236795	-0.168172	82.5085	24.8114	82.6423	24.5525	1.6235	-0.29012	0.311334
84.1854	24.5299	1.74817	-0.0104644	0.118314	84.1733	24.5504	84.2584	24.2245	1.51869	-0.345444	0
84.1813	24.5304	1.70813	-0.0296674	0.0839259	84.2898	24.3312	84.2584	24.2245	1.51869	-0.345444	0.1288
85.6555	23.8385	1.68893	-0.644336	-0.427021	85.6378	23.808	85.7688	23.8451	1.41749	-0.390006	0
85.7106	23.8806	1.76884	-0.533313	-0.269036	85.9743	23.7547	85.7688	23.8451	1.41749	-0.390006	1.00102
86.9886	23.4685	1.42603	-0.377629	0.0215335	86.9449	23.527	87.1776	23.4252	1.32159	-0.424654	0
87.0835	23.5041	1.4569	-0.313094	0.0578951	87.6171	23.5127	87.1776	23.4252	1.32159	-0.424654	3.54225
88.7207	22.8221	1.90431	-0.453443	-0.0763336	88.8227	22.7869	88.4904	22.9745	1.23248	-0.450514	0
88.6657	22.7921	1.83425	-0.556457	-0.208647	88.4191	22.9498	88.4904	22.9745	1.23248	-0.450514	0.781283
89.6057	22.2347	1.2891	-0.699445	-0.238323	89.4967	22.3082	89.7145	22.5017	1.15138	-0.468904	0
89.6509	22.2509	1.32078	-0.645443	-0.176751	89.7821	22.4826	89.7145	22.5017	1.15138	-0.468904	0.508651
90.5276	21.6435	1.18833	-0.650236	-0.0559493	90.5133	21.6677	90.858	22.0141	1.07929	-0.481241	0
90.6184	21.6738	1.2594	-0.491413	0.119931	90.8419	22.0974	90.858	22.0141	1.07929	-0.481241	1.77034
91.6982	21.1242	1.34904	-0.396373	0.104983	91.7178	21.1152	91.9302	21.5174	1.01698	-0.488964	0
91.7467	21.1339	1.33757	-0.434638	0.011616	92.0492	21.5289	91.9302	21.5174	1.01698	-0.488964	2.09038
92.8657	20.9331	1.25745	-0.0751932	0.250742	92.8599	20.9537	92.9411	21.016	0.964993	-0.493443	0
92.9103	20.9585	1.19734	-0.0814302	0.200014	93.3186	21.0712	92.9411	21.016	0.964993	-0.493443	2.79042
93.5561	20.2668	0.8989	-0.840056	-0.446277	93.4668	20.2155	93.9011	20.513	0.92369	-0.495919	0
93.608	20.3243	1.0041	-0.643542	-0.197183	93.7423	20.5071	93.9011	20.513	0.92369	-0.495919	1.3763
95.1411	19.7198	1.6976	0.0187705	0.49012	95.3229	19.6585	94.8209	20.01	0.893308	-0.497439	0
94.9651	19.7161	1.37627	-0.252803	0.226106	94.494	19.8854	94.8209	20.01	0.893308	-0.497439	6.93999
95.6352	19.6689	0.909344	0.156024	0.372465	95.5039	19.6984	95.7116	19.5078	0.87398	-0.498816	0
95.6206	19.6686	0.868934	0.149611	0.363554	95.6097	19.5804	95.7116	19.5078	0.87398	-0.498816	0.0642662
96.3116	19.2459	0.632626	-0.554933	-0.335442	96.2641	19.1597	96.5842	19.0065	0.865773	-0.500589	0
96.3515	19.2823	0.74541	-0.432667	-0.191426	96.559	18.8688	96.5842	19.0065	0.865773	-0.500589	0.845181
97.3972	18.7845	1.28943	-0.563707	-0.0903067	97.5286	18.727	97.45	18.506	0.868716	-0.503009	0
97.3996	18.7827	1.29067	-0.570047	-0.0971882	97.5333	18.1735	97.45	18.506	0.868716	-0.503009	0.0484953
98.2403	18.3476	1.11658	-0.477311	0.007508	98.2105	18.3739	98.3198	18.0049	0.882805	-0.506023	0
98.2506	18.3509	1.09984	-0.498707	-0.038361	98.4162	18.1556	98.3198	18.0049	0.882805	-0.506023	0.26971
