px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
8.46292	0.243462	-3.04035	0.0287602	0	8.46292	0.243462	8.6	0.25	-3.00029	0	3.08297e-321
8.44627	0.251311	-3.03608	0.0283147	-3.15076e-05	8.44818	0.251553	8.45	0.25	-3.00027	0	0
8.46762	0.248349	-2.62801	0.0354221	0.000792995	8.56759	0.241943	8.45	0.25	0	0	0.958187
8.42139	0.250264	-2.56391	0.0241601	-0.000786107	8.45582	0.253997	8.45	0.25	0	0	0
8.32967	0.249042	-2.59039	0.0210002	-0.00129228	8.42544	0.254042	8.35	0.25	-1.81979	0	0.119657
8.23437	0.24839	-2.58036	0.0168116	-0.00221714	8.23962	0.24916	8.25	0.25	-1.81978	0	0
8.00154	0.223155	-3.47391	0.0884996	0.0240109	7.93286	0.188391	8.05	0.2	-3.99976	-0.99994	3.21886
7.85055	0.17672	-3.48494	0.170544	0.0584558	7.84073	0.159858	7.85	0.15	-3.99972	-0.99993	0
7.68033	0.154462	-3.52504	0.159143	0.0446816	7.61269	0.155818	7.7	0.15	-2.99982	0	0.0686117
7.52245	0.146362	-3.5036	0.128701	0.0159477	7.54016	0.159641	7.55	0.15	-2.99982	0	0
7.45682	0.0840359	-2.87341	0.242807	0.32378	7.50815	0.0953827	7.45	0.100001	-1.8165	-0.908239	8.54768
7.31719	0.0390333	-2.86367	0.270694	0.34041	7.3426	0.0345312	7.35	0.0500011	-1.81648	-0.90823	0
7.1614	0.00933926	-2.90124	0.251081	0.221883	7.20598	0.00492725	7.2	9.49949e-07	-2.72851	-0.909507	0.155522
7.02093	-0.0416969	-2.89501	0.280217	0.254917	7.05406	-0.0533413	7.05	-0.0499992	-2.72849	-0.909499	0
6.92739	-0.169105	-2.74218	0.543331	0.985978	6.74585	-0.143185	6.95	-0.15	-1.81898	-1.81898	6.01362
6.81369	-0.254235	-2.73424	0.60851	1.01018	6.84972	-0.258748	6.85	-0.25	-1.81896	-1.81897	0
6.70334	-0.333871	-2.73976	0.65345	0.992226	6.66966	-0.346668	6.75	-0.349999	-2.00076	-2.00075	0.02249
6.60719	-0.433231	-2.7439	0.722519	1.02486	6.64329	-0.462604	6.65	-0.449999	-2.00076	-2.00075	0
6.56588	-0.609297	-2.75333	1.02708	1.63759	6.60862	-0.557035	6.6	-0.549999	-0.998836	-1.99769	4.21885
6.51058	-0.709629	-2.71932	1.09737	1.62715	6.56029	-0.650892	6.55	-0.65	-0.99884	-1.99769	0
6.46512	-0.86732	-2.746	1.25575	1.7835	6.40696	-0.842921	6.5	-0.85	-0.908747	-3.63498	0.458949
6.43155	-1.0208	-2.75294	1.3618	1.79161	6.45805	-1.05268	6.45	-1.05	-0.908739	-3.63494	0
6.32032	-1.09341	-2.61474	1.20039	1.21677	6.38626	-1.15695	6.35	-1.15	-1.81897	-1.81898	11.0011
6.26949	-1.23288	-2.62322	1.26603	1.2125	6.25499	-1.25007	6.25	-1.25	-1.81896	-1.81896	0
6.35426	-1.43821	-2.71139	1.61506	1.84736	6.43125	-1.48148	6.3	-1.45	0.909739	-3.63894	20.9242
6.36626	-1.59914	-2.73293	1.71702	1.8418	6.36328	-1.65656	6.35	-1.65	0.909727	-3.63891	0
6.30389	-1.68603	-2.54943	1.6034	1.35934	6.3228	-1.81431	6.3	-1.8	-0.999494	-2.9985	16.1583
6.29665	-1.83893	-2.59488	1.65868	1.32963	6.24641	-1.95075	6.25	-1.95	-0.999489	-2.99847	0
6.34342	-1.99473	-2.67538	1.79852	1.50411	6.31851	-2.10969	6.3	-2.1	0.999984	-2.99994	3.17785
6.36877	-2.14493	-2.71093	1.86306	1.48057	6.34644	-2.23829	6.35	-2.25	0.999979	-2.99994	0
6.35744	-2.28009	-2.62047	1.83067	1.20907	6.32593	-2.40018	6.35	-2.4	0	-2.72613	6.80911
6.38365	-2.44497	-2.66274	1.87757	1.17228	6.34927	-2.55175	6.35	-2.55	0	-2.72611	0
6.43104	-2.5977	-2.69394	1.94248	1.17863	6.43125	-2.71878	6.4	-2.7	0.909499	-2.72851	0.406271
6.47215	-2.75802	-2.72886	1.98502	1.14102	6.43257	-2.84245	6.45	-2.85	0.909503	-2.72851	0
6.48126	-2.88716	-2.66153	1.95591	0.940008	6.46536	-3.00452	6.45	-3	0	-2.99754	4.13026
6.50739	-3.04293	-2.70499	1.96743	0.88304	6.44119	-3.14955	6.45	-3.15	0	-2.99754	0
6.56467	-3.195	-2.73967	2.01334	0.889096	6.52249	-3.32007	6.5	-3.3	0.910402	-2.7312	0.512376
6.60577	-3.36218	-2.77871	2.02582	0.832678	6.5453	-3.45745	6.55	-3.45	0.910402	-2.7312	0
6.69284	-3.51149	-2.84519	2.10317	0.918678	6.6358	-3.59197	6.65	-3.6	1.81722	-2.72583	1.5784
6.76396	-3.67032	-2.87722	2.13124	0.88251	6.76011	-3.75457	6.75	-3.75	1.81721	-2.72581	0
6.82342	-3.81095	-2.83816	2.13518	0.784517	6.83625	-3.92723	6.8	-3.9	0.907988	-2.72396	1.34095
6.88887	-3.97296	-2.87041	2.14465	0.732202	6.85997	-4.05805	6.85	-4.05	0.907976	-2.72393	0
6.94374	-4.11323	-2.82794	2.13651	0.630704	6.86943	-4.18507	6.9	-4.2	0.909334	-2.72801	1.28878
7.00037	-4.27535	-2.85382	2.13057	0.56943	6.94332	-4.34473	6.95	-4.35	0.90933	-2.72799	0
7.02248	-4.41282	-2.7307	2.06466	0.349243	7.05156	-4.49706	7	-4.45	0.910054	-1.8201	7.04343
7.08111	-4.54988	-2.73126	2.07023	0.329551	7.04099	-4.55018	7.05	-4.55	0.910054	-1.8201	0
7.13799	-4.68259	-2.70754	2.06528	0.279905	7.10252	-4.67934	7.1	-4.7	0.908302	-2.72489	0.28259
7.19008	-4.8302	-2.71929	2.05586	0.243818	7.14735	-4.86125	7.15	-4.85	0.908297	-2.72489	0
7.30387	-4.96708	-2.81473	2.13647	0.399588	7.3138	-5.05204	7.25	-5	1.81907	-2.72861	3.64746
7.36226	-5.11833	-2.8287	2.12612	0.352988	7.30424	-5.15404	7.35	-5.15	1.81907	-2.72861	0
7.4236	-5.25224	-2.80265	2.11906	0.301574	7.29446	-5.23429	7.4	-5.3	0.908194	-2.7246	0.482058
7.48353	-5.40618	-2.82018	2.10553	0.257579	7.44737	-5.45308	7.45	-5.45	0.90819	-2.72457	0
7.56156	-5.54202	-2.81902	2.114	0.245038	7.63082	-5.61863	7.55	-5.55	1.81974	-1.81974	0.142763
7.64273	-5.67143	-2.81743	2.12939	0.24785	7.64356	-5.66706	7.65	-5.65	1.81972	-1.81972	0
7.70464	-5.79967	-2.78101	2.11852	0.196862	7.60376	-5.74774	7.7	-5.8	0.90983	-2.72951	0.56201
7.76875	-5.9405	-2.78641	2.11042	0.169494	7.7342	-5.95374	7.75	-5.95	0.909826	-2.72948	0
7.90053	-6.06589	-2.93293	2.20883	0.374744	7.82165	-6.06822	7.85	-6.1	1.9986	-2.9979	8.67086
7.97413	-6.20132	-2.94766	2.20515	0.341988	7.95703	-6.24328	7.95	-6.25	1.99858	-2.99787	0
8.05898	-6.33039	-2.90699	2.20478	0.296998	8.17338	-6.44684	8.05	-6.35	1.81738	-1.81739	1.10076
8.15555	-6.45586	-2.90613	2.22359	0.3006	8.15891	-6.45335	8.15	-6.45	1.81737	-1.81737	0
8.228	-6.57677	-2.85135	2.21477	0.248742	8.08628	-6.51855	8.2	-6.6	0.909293	-2.72787	1.07246
8.29857	-6.72149	-2.85937	2.1973	0.203179	8.25411	-6.74791	8.25	-6.75	0.909293	-2.72787	0
8.38094	-6.84628	-2.84761	2.20051	0.189712	8.25648	-6.78122	8.35	-6.85	1.81994	-1.81993	0.244526
8.46684	-6.97087	-2.84316	2.20668	0.183635	8.44494	-6.95805	8.45	-6.95	1.81993	-1.81993	0
8.5327	-7.08162	-2.80849	2.19772	0.14829	8.39359	-7.01743	8.5	-7.1	1.00006	-3.00018	0.555401
8.59173	-7.21516	-2.81627	2.17424	0.103414	8.54925	-7.24433	8.55	-7.25	1.00006	-3.00018	0
8.71087	-7.34064	-2.93543	2.23036	0.220018	8.64403	-7.39047	8.65	-7.4	1.99807	-2.99712	5.01562
8.77381	-7.48599	-2.95123	2.20135	0.161777	8.73559	-7.5421	8.75	-7.55	1.99808	-2.99712	0
8.82341	-7.6127	-2.8277	2.1518	0.0365277	8.87176	-7.71912	8.8	-7.65	0.909955	-1.8199	5.93023
8.88929	-7.75262	-2.8276	2.13237	0.00543161	8.84538	-7.75497	8.85	-7.75	0.909946	-1.81988	0
8.9658	-7.87447	-2.84446	2.13675	0.0184651	8.88333	-7.88636	8.9	-7.9	0.999086	-2.9973	0.179987
9.01431	-8.01481	-2.85107	2.10362	-0.0304227	8.95966	-8.0381	8.95	-8.05	0.999095	-2.9973	0
9.02695	-8.14527	-2.72041	2.01808	-0.204115	8.8564	-8.01424	9	-8.15	0.909309	-1.8186	6.43326
9.08568	-8.27367	-2.71109	2.0065	-0.204961	9.05896	-8.24314	9.05	-8.25	0.909301	-1.81859	0
9.16642	-8.39762	-2.75789	2.03187	-0.128868	9.17781	-8.47056	9.1	-8.4	1.0004	-3.00119	0.933031
9.20376	-8.5353	-2.76386	1.99864	-0.166341	9.15332	-8.54857	9.15	-8.55	1.00038	-3.00117	0
9.22006	-8.67477	-2.68565	1.92098	-0.310066	9.22922	-8.6898	9.2	-8.65	0.909508	-1.819	3.0622
9.26706	-8.80461	-2.67461	1.90647	-0.307083	9.24541	-8.76863	9.25	-8.75	0.9095	-1.81899	0
9.46351	-8.92479	-2.90248	2.13724	0.21348	9.37748	-9.00609	9.35	-8.95	1.99965	-3.99928	31.1622
9.50474	-9.08186	-2.93181	2.10011	0.148161	9.44703	-9.15328	9.45	-9.15	1.99964	-3.99928	0
9.54542	-9.19815	-2.84184	2.06584	0.0569266	9.50096	-9.25642	9.5	-9.25	0.999584	-1.99917	3.18996
